"Region","DisplayName","ProvidersAvailable","ProvidersUnavailable","GlobalProviders"
"australiaeast","Australia East","167","109","42"
"southeastasia","Southeast Asia","163","113","42"
"japaneast","Japan East","146","130","42"
"centralindia","Central India","141","135","42"
"eastasia","East Asia","132","144","42"
"koreacentral","Korea Central","129","147","42"
"australiasoutheast","Australia Southeast","122","154","42"
"southindia","South India","115","161","42"
"japanwest","Japan West","114","162","42"
"koreasouth","Korea South","89","187","42"
"australiacentral","Australia Central","81","195","42"
"malaysiawest","Malaysia West","76","200","42"
"indonesiacentral","Indonesia Central","71","205","42"
"newzealandnorth","New Zealand North","70","206","42"
"westindia","West India","69","207","42"
"australiacentral2","Australia Central 2","54","222","42"
"jioindiawest","Jio India West","0","276","42"
"southeastasiastage","Southeast Asia (Stage)","0","276","42"
"eastasiastage","East Asia (Stage)","0","276","42"
"jioindiacentral","Jio India Central","0","276","42"
