"ResourceType","Instances"
"microsoft.managedidentity/userassignedidentities","146"
"microsoft.web/sites","124"
"microsoft.storage/storageaccounts","92"
"microsoft.network/privateendpoints","86"
"microsoft.compute/disks","78"
"microsoft.keyvault/vaults","74"
"microsoft.network/networksecuritygroups","72"
"microsoft.web/serverfarms","68"
"microsoft.network/networkinterfaces","64"
"microsoft.network/publicipaddresses","54"
"microsoft.sql/servers/databases","53"
"microsoft.compute/virtualmachines","42"
"microsoft.insights/components","38"
"microsoft.logic/workflows","28"
"microsoft.network/virtualnetworks","26"
"microsoft.app/containerapps","22"
"microsoft.documentdb/databaseaccounts","22"
"microsoft.web/staticsites","18"
"microsoft.network/loadbalancers","18"
"microsoft.servicebus/namespaces","15"
"microsoft.appconfiguration/configurationstores","14"
"microsoft.cognitiveservices/accounts","12"
"microsoft.compute/virtualmachinescalesets","12"
"microsoft.sql/servers","12"
"microsoft.eventgrid/topics","11"
"microsoft.cache/redis","9"
"microsoft.operationalinsights/workspaces","9"
"microsoft.compute/galleries/images","8"
"microsoft.containerservice/managedclusters","8"
"microsoft.eventgrid/systemtopics","8"
"microsoft.network/applicationgateways","7"
"microsoft.eventhub/namespaces","7"
"microsoft.containerinstance/containergroups","6"
"microsoft.datafactory/factories","5"
"microsoft.sql/servers/elasticpools","4"
"microsoft.recoveryservices/vaults","4"
"microsoft.search/searchservices","4"
"microsoft.containerregistry/registries","4"
"microsoft.apimanagement/service","4"
"microsoft.app/managedenvironments","4"
"microsoft.dataprotection/backupvaults","3"
"microsoft.databricks/workspaces","3"
"microsoft.network/frontdoors","3"
"microsoft.compute/galleries","3"
"microsoft.monitor/accounts","3"
"microsoft.notificationhubs/namespaces","3"
"microsoft.network/bastionhosts","3"
"microsoft.cache/redisenterprise","2"
"microsoft.dashboard/grafana","2"
"microsoft.synapse/workspaces","2"
"microsoft.network/expressroutecircuits","2"
"microsoft.machinelearningservices/workspaces","2"
"microsoft.network/azurefirewalls","2"
"microsoft.communication/communicationservices","2"
