ResourceType,Instances
microsoft.web/sites,124
microsoft.web/serverfarms,68
microsoft.web/staticsites,18
microsoft.storage/storageaccounts,92
microsoft.keyvault/vaults,74
microsoft.managedidentity/userassignedidentities,146
microsoft.sql/servers,12
microsoft.sql/servers/databases,53
microsoft.sql/servers/elasticpools,4
microsoft.documentdb/databaseaccounts,22
microsoft.cache/redis,9
microsoft.cache/redisenterprise,2
microsoft.servicebus/namespaces,15
microsoft.eventgrid/topics,11
microsoft.eventgrid/systemtopics,8
microsoft.eventhub/namespaces,7
microsoft.apimanagement/service,4
microsoft.appconfiguration/configurationstores,14
microsoft.insights/components,38
microsoft.operationalinsights/workspaces,9
microsoft.dashboard/grafana,2
microsoft.monitor/accounts,3
microsoft.network/virtualnetworks,26
microsoft.network/networksecuritygroups,72
microsoft.network/publicipaddresses,54
microsoft.network/loadbalancers,18
microsoft.network/applicationgateways,7
microsoft.network/privateendpoints,86
microsoft.network/networkinterfaces,64
microsoft.network/bastionhosts,3
microsoft.network/azurefirewalls,2
microsoft.network/frontdoors,3
microsoft.network/expressroutecircuits,2
microsoft.compute/virtualmachines,42
microsoft.compute/disks,78
microsoft.compute/virtualmachinescalesets,12
microsoft.compute/galleries,3
microsoft.compute/galleries/images,8
microsoft.containerinstance/containergroups,6
microsoft.containerregistry/registries,4
microsoft.containerservice/managedclusters,8
microsoft.app/managedenvironments,4
microsoft.app/containerapps,22
microsoft.cognitiveservices/accounts,12
microsoft.search/searchservices,4
microsoft.datafactory/factories,5
microsoft.databricks/workspaces,3
microsoft.synapse/workspaces,2
microsoft.recoveryservices/vaults,4
microsoft.dataprotection/backupvaults,3
microsoft.logic/workflows,28
microsoft.machinelearningservices/workspaces,2
microsoft.notificationhubs/namespaces,3
microsoft.communication/communicationservices,2
