"ResourceType","Instances"
"microsoft.managedidentity/userassignedidentities","54"
"microsoft.web/sites","42"
"microsoft.storage/storageaccounts","38"
"microsoft.compute/disks","32"
"microsoft.network/privateendpoints","32"
"microsoft.keyvault/vaults","26"
"microsoft.web/serverfarms","24"
"microsoft.network/networkinterfaces","24"
"microsoft.network/networksecuritygroups","22"
"microsoft.compute/virtualmachines","18"
"microsoft.sql/servers/databases","18"
"microsoft.network/publicipaddresses","18"
"microsoft.insights/components","14"
"microsoft.logic/workflows","8"
"microsoft.app/containerapps","8"
"microsoft.network/virtualnetworks","8"
"microsoft.network/loadbalancers","6"
"microsoft.documentdb/databaseaccounts","6"
"microsoft.servicebus/namespaces","5"
"microsoft.compute/virtualmachinescalesets","4"
"microsoft.sql/servers","4"
"microsoft.cache/redis","4"
"microsoft.appconfiguration/configurationstores","4"
"microsoft.dbformysql/flexibleservers","3"
"microsoft.eventgrid/topics","3"
"microsoft.eventhub/namespaces","3"
"microsoft.operationalinsights/workspaces","3"
"microsoft.containerservice/managedclusters","3"
"microsoft.cognitiveservices/accounts","3"
"microsoft.network/applicationgateways","3"
"microsoft.apimanagement/service","2"
"microsoft.containerregistry/registries","2"
"microsoft.app/managedenvironments","2"
"microsoft.search/searchservices","2"
"microsoft.datafactory/factories","2"
"microsoft.recoveryservices/vaults","2"
"microsoft.network/bastionhosts","1"
