"ResourceType","Instances"
"microsoft.managedidentity/userassignedidentities","64"
"microsoft.web/sites","48"
"microsoft.storage/storageaccounts","42"
"microsoft.network/privateendpoints","36"
"microsoft.keyvault/vaults","32"
"microsoft.network/networksecuritygroups","28"
"microsoft.web/serverfarms","28"
"microsoft.network/networkinterfaces","26"
"microsoft.sql/servers/databases","22"
"microsoft.compute/disks","22"
"microsoft.network/publicipaddresses","20"
"microsoft.insights/components","16"
"microsoft.compute/virtualmachines","12"
"microsoft.logic/workflows","12"
"microsoft.app/containerapps","10"
"microsoft.network/virtualnetworks","10"
"microsoft.network/loadbalancers","8"
"microsoft.web/staticsites","8"
"microsoft.documentdb/databaseaccounts","7"
"microsoft.servicebus/namespaces","6"
"microsoft.sql/servers","5"
"microsoft.appconfiguration/configurationstores","5"
"microsoft.operationalinsights/workspaces","4"
"microsoft.eventgrid/topics","4"
"microsoft.cache/redis","4"
"microsoft.cognitiveservices/accounts","4"
"microsoft.containerservice/managedclusters","3"
"microsoft.network/applicationgateways","3"
"microsoft.compute/virtualmachinescalesets","3"
"microsoft.eventhub/namespaces","3"
"microsoft.app/managedenvironments","2"
"microsoft.apimanagement/service","2"
"microsoft.search/searchservices","2"
"microsoft.datafactory/factories","2"
"microsoft.recoveryservices/vaults","2"
"microsoft.containerregistry/registries","2"
"microsoft.dashboard/grafana","1"
