"RegionName","DisplayName","Physical","RegionCategory","PairedWith","CoveragePercent","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","UnknownTypesList","IsSource"
"westeurope","West Europe","Netherlands","Recommended","northeurope","100","37","0","0","0","","","False"
"francecentral","France Central","Paris","Recommended","francesouth","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"germanywestcentral","Germany West Central","Frankfurt","Recommended","germanynorth","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"italynorth","Italy North","Milan","Recommended","","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"northeurope","North Europe","Ireland","Recommended","westeurope","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"norwayeast","Norway East","Norway","Recommended","norwaywest","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"swedencentral","Sweden Central","Gävle","Recommended","swedensouth","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"switzerlandnorth","Switzerland North","Zurich","Recommended","switzerlandwest","97.3","36","1","8","0","microsoft.web/staticsites (8)","","False"
"polandcentral","Poland Central","Warsaw","Recommended","","94.6","35","2","9","0","microsoft.web/staticsites (8); microsoft.dashboard/grafana (1)","","False"
"spaincentral","Spain Central","Madrid","Recommended","","94.6","35","2","9","0","microsoft.web/staticsites (8); microsoft.dashboard/grafana (1)","","False"
"austriaeast","Austria East","Vienna","Recommended","","86.5","32","5","25","0","microsoft.app/containerapps (10); microsoft.web/staticsites (8); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1)","","False"
"belgiumcentral","Belgium Central","Brussels","Recommended","","81.1","30","7","45","0","microsoft.insights/components (16); microsoft.app/containerapps (10); microsoft.web/staticsites (8); microsoft.operationalinsights/workspaces (4); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1)","","False"
"denmarkeast","Denmark East","Copenhagen","Recommended","","81.1","30","7","45","0","microsoft.insights/components (16); microsoft.app/containerapps (10); microsoft.web/staticsites (8); microsoft.operationalinsights/workspaces (4); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1)","","False"
"switzerlandwest","Switzerland West","Geneva","Other","switzerlandnorth","27","10","27","394","0","microsoft.web/sites (48); microsoft.storage/storageaccounts (42); microsoft.network/privateendpoints (36); microsoft.keyvault/vaults (32); microsoft.web/serverfarms (28); microsoft.network/networksecuritygroups (28); microsoft.network/networkinterfaces (26); microsoft.compute/disks (22); microsoft.sql/servers/databases (22); microsoft.network/publicipaddresses (20); microsoft.compute/virtualmachines (12); microsoft.app/containerapps (10); microsoft.network/virtualnetworks (10); microsoft.network/loadbalancers (8); microsoft.web/staticsites (8); microsoft.documentdb/databaseaccounts (7); microsoft.servicebus/namespaces (6); microsoft.sql/servers (5); microsoft.eventgrid/topics (4); microsoft.cache/redis (4); microsoft.eventhub/namespaces (3); microsoft.network/applicationgateways (3); microsoft.compute/virtualmachinescalesets (3); microsoft.recoveryservices/vaults (2); microsoft.app/managedenvironments (2); microsoft.apimanagement/service (2); microsoft.dashboard/grafana (1)","","False"
"francesouth","France South","Marseille","Other","francecentral","24.3","9","28","452","0","microsoft.managedidentity/userassignedidentities (64); microsoft.web/sites (48); microsoft.storage/storageaccounts (42); microsoft.network/privateendpoints (36); microsoft.keyvault/vaults (32); microsoft.web/serverfarms (28); microsoft.network/networksecuritygroups (28); microsoft.network/networkinterfaces (26); microsoft.sql/servers/databases (22); microsoft.compute/disks (22); microsoft.network/publicipaddresses (20); microsoft.compute/virtualmachines (12); microsoft.network/virtualnetworks (10); microsoft.network/loadbalancers (8); microsoft.web/staticsites (8); microsoft.documentdb/databaseaccounts (7); microsoft.servicebus/namespaces (6); microsoft.sql/servers (5); microsoft.cognitiveservices/accounts (4); microsoft.eventgrid/topics (4); microsoft.cache/redis (4); microsoft.compute/virtualmachinescalesets (3); microsoft.network/applicationgateways (3); microsoft.eventhub/namespaces (3); microsoft.search/searchservices (2); microsoft.apimanagement/service (2); microsoft.recoveryservices/vaults (2); microsoft.dashboard/grafana (1)","","False"
"germanynorth","Germany North","Berlin","Other","germanywestcentral","18.9","7","30","464","0","microsoft.managedidentity/userassignedidentities (64); microsoft.web/sites (48); microsoft.storage/storageaccounts (42); microsoft.network/privateendpoints (36); microsoft.keyvault/vaults (32); microsoft.web/serverfarms (28); microsoft.network/networksecuritygroups (28); microsoft.network/networkinterfaces (26); microsoft.compute/disks (22); microsoft.sql/servers/databases (22); microsoft.network/publicipaddresses (20); microsoft.compute/virtualmachines (12); microsoft.app/containerapps (10); microsoft.network/virtualnetworks (10); microsoft.network/loadbalancers (8); microsoft.web/staticsites (8); microsoft.documentdb/databaseaccounts (7); microsoft.servicebus/namespaces (6); microsoft.sql/servers (5); microsoft.eventgrid/topics (4); microsoft.cache/redis (4); microsoft.cognitiveservices/accounts (4); microsoft.eventhub/namespaces (3); microsoft.network/applicationgateways (3); microsoft.compute/virtualmachinescalesets (3); microsoft.recoveryservices/vaults (2); microsoft.app/managedenvironments (2); microsoft.datafactory/factories (2); microsoft.apimanagement/service (2); microsoft.dashboard/grafana (1)","","False"
