"RegionName","DisplayName","Physical","RegionCategory","PairedWith","CoveragePercent","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","UnknownTypesList","IsSource"
"westeurope","West Europe","Netherlands","Recommended","northeurope","100","40","0","0","0","","","False"
"francecentral","France Central","Paris","Recommended","francesouth","97.5","39","1","6","0","microsoft.web/staticsites (6)","","False"
"germanywestcentral","Germany West Central","Frankfurt","Recommended","germanynorth","97.5","39","1","6","0","microsoft.web/staticsites (6)","","False"
"northeurope","North Europe","Ireland","Recommended","westeurope","97.5","39","1","6","0","microsoft.web/staticsites (6)","","True"
"norwayeast","Norway East","Norway","Recommended","norwaywest","97.5","39","1","6","0","microsoft.web/staticsites (6)","","False"
"swedencentral","Sweden Central","Gävle","Recommended","swedensouth","97.5","39","1","6","0","microsoft.web/staticsites (6)","","False"
"switzerlandnorth","Switzerland North","Zurich","Recommended","switzerlandwest","97.5","39","1","6","0","microsoft.web/staticsites (6)","","False"
"italynorth","Italy North","Milan","Recommended","","95","38","2","7","0","microsoft.web/staticsites (6); microsoft.databricks/workspaces (1)","","False"
"polandcentral","Poland Central","Warsaw","Recommended","","92.5","37","3","8","0","microsoft.web/staticsites (6); microsoft.databricks/workspaces (1); microsoft.dashboard/grafana (1)","","False"
"spaincentral","Spain Central","Madrid","Recommended","","92.5","37","3","8","0","microsoft.web/staticsites (6); microsoft.databricks/workspaces (1); microsoft.dashboard/grafana (1)","","False"
"austriaeast","Austria East","Vienna","Recommended","","85","34","6","23","0","microsoft.app/containerapps (9); microsoft.web/staticsites (6); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1); microsoft.databricks/workspaces (1)","","False"
"belgiumcentral","Belgium Central","Brussels","Recommended","","80","32","8","45","0","microsoft.insights/components (18); microsoft.app/containerapps (9); microsoft.web/staticsites (6); microsoft.operationalinsights/workspaces (4); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1); microsoft.databricks/workspaces (1)","","False"
"denmarkeast","Denmark East","Copenhagen","Recommended","","80","32","8","45","0","microsoft.insights/components (18); microsoft.app/containerapps (9); microsoft.web/staticsites (6); microsoft.operationalinsights/workspaces (4); microsoft.cognitiveservices/accounts (4); microsoft.app/managedenvironments (2); microsoft.dashboard/grafana (1); microsoft.databricks/workspaces (1)","","False"
