ResourceType,Instances
microsoft.web/sites,42
microsoft.web/serverfarms,24
microsoft.storage/storageaccounts,38
microsoft.keyvault/vaults,26
microsoft.managedidentity/userassignedidentities,54
microsoft.sql/servers,4
microsoft.sql/servers/databases,18
microsoft.documentdb/databaseaccounts,6
microsoft.dbformysql/flexibleservers,3
microsoft.cache/redis,4
microsoft.servicebus/namespaces,5
microsoft.eventhub/namespaces,3
microsoft.eventgrid/topics,3
microsoft.apimanagement/service,2
microsoft.appconfiguration/configurationstores,4
microsoft.insights/components,14
microsoft.operationalinsights/workspaces,3
microsoft.network/virtualnetworks,8
microsoft.network/networksecuritygroups,22
microsoft.network/publicipaddresses,18
microsoft.network/loadbalancers,6
microsoft.network/applicationgateways,3
microsoft.network/privateendpoints,32
microsoft.network/networkinterfaces,24
microsoft.network/bastionhosts,1
microsoft.compute/virtualmachines,18
microsoft.compute/disks,32
microsoft.compute/virtualmachinescalesets,4
microsoft.containerregistry/registries,2
microsoft.containerservice/managedclusters,3
microsoft.app/managedenvironments,2
microsoft.app/containerapps,8
microsoft.cognitiveservices/accounts,3
microsoft.search/searchservices,2
microsoft.datafactory/factories,2
microsoft.recoveryservices/vaults,2
microsoft.logic/workflows,8
