ResourceType,Instances
microsoft.web/sites,48
microsoft.web/serverfarms,28
microsoft.web/staticsites,8
microsoft.storage/storageaccounts,42
microsoft.keyvault/vaults,32
microsoft.managedidentity/userassignedidentities,64
microsoft.sql/servers,5
microsoft.sql/servers/databases,22
microsoft.documentdb/databaseaccounts,7
microsoft.cache/redis,4
microsoft.servicebus/namespaces,6
microsoft.eventgrid/topics,4
microsoft.eventhub/namespaces,3
microsoft.apimanagement/service,2
microsoft.appconfiguration/configurationstores,5
microsoft.insights/components,16
microsoft.operationalinsights/workspaces,4
microsoft.network/virtualnetworks,10
microsoft.network/networksecuritygroups,28
microsoft.network/publicipaddresses,20
microsoft.network/loadbalancers,8
microsoft.network/applicationgateways,3
microsoft.network/privateendpoints,36
microsoft.network/networkinterfaces,26
microsoft.compute/virtualmachines,12
microsoft.compute/disks,22
microsoft.compute/virtualmachinescalesets,3
microsoft.containerregistry/registries,2
microsoft.containerservice/managedclusters,3
microsoft.app/managedenvironments,2
microsoft.app/containerapps,10
microsoft.cognitiveservices/accounts,4
microsoft.search/searchservices,2
microsoft.datafactory/factories,2
microsoft.recoveryservices/vaults,2
microsoft.logic/workflows,12
microsoft.dashboard/grafana,1
