"Region","DisplayName","ProvidersAvailable","ProvidersUnavailable","GlobalProviders"
"westeurope","West Europe","195","81","42"
"northeurope","North Europe","183","93","42"
"germanywestcentral","Germany West Central","143","133","42"
"swedencentral","Sweden Central","142","134","42"
"francecentral","France Central","132","144","42"
"switzerlandnorth","Switzerland North","126","150","42"
"norwayeast","Norway East","119","157","42"
"italynorth","Italy North","110","166","42"
"polandcentral","Poland Central","89","187","42"
"spaincentral","Spain Central","88","188","42"
"switzerlandwest","Switzerland West","82","194","42"
"francesouth","France South","65","211","42"
"norwaywest","Norway West","61","215","42"
"austriaeast","Austria East","61","215","42"
"germanynorth","Germany North","59","217","42"
"belgiumcentral","Belgium Central","57","219","42"
"denmarkeast","Denmark East","54","222","42"
