"RegionName","DisplayName","Physical","RegionCategory","Geography","PairedWith","AZCount","IsSource","Rejected","RejectionReasons","FinalScore","CoveragePercent","CoverageScore","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","LatencyMs","LatencyScore","PriceDeltaPercent","PriceScore","PeeringRatePerGb","EgressScore","AZScore","SKUPortabilityScore","MaturityScore","CapacityStatus","CapacityRestriction","CapacityMitigation","CapacityScore"
"northeurope","North Europe","Ireland","Recommended","Europe","westeurope","3","True","False","","0.844","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","0","1","0","0.5","0.01","1","1","1","1","unknown","","","0.5"
"swedencentral","Sweden Central","G�vle","Recommended","Europe","swedensouth","3","False","False","","0.792","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","32","0.68","-4.82","0.62","0.02","0.857","1","1","1","unknown","","","0.5"
"spaincentral","Spain Central","Madrid","Recommended","Europe","","3","False","False","","0.786","92.5","0.925","37","3","8","0","microsoft.dashboard/grafana (1); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","20","0.8","0","0.5","0.02","0.857","1","1","1","unknown","","","0.5"
"francecentral","France Central","Paris","Recommended","Europe","francesouth","3","False","False","","0.782","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","19","0.81","4.82","0.38","0.02","0.857","1","1","1","unknown","","","0.5"
"westeurope","West Europe","Netherlands","Recommended","Europe","northeurope","3","False","False","","0.774","100","1","40","0","0","0","","21","0.79","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"germanywestcentral","Germany West Central","Frankfurt","Recommended","Europe","germanynorth","3","False","False","","0.757","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","26","0.74","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"italynorth","Italy North","Milan","Recommended","Europe","","3","False","False","","0.744","95","0.95","38","2","7","0","microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","35","0.65","4.82","0.38","0.02","0.857","1","1","1","unknown","","","0.5"
"belgiumcentral","Belgium Central","Brussels","Recommended","Europe","","3","False","False","","0.74","80","0.8","32","8","45","0","microsoft.insights/components (18); microsoft.operationalinsights/workspaces (4); microsoft.dashboard/grafana (1); microsoft.app/managedenvironments (2); microsoft.app/containerapps (9); microsoft.cognitiveservices/accounts (4); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","13","0.87","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"austriaeast","Austria East","Vienna","Recommended","Europe","","3","False","False","","0.734","85","0.85","34","6","23","0","microsoft.dashboard/grafana (1); microsoft.app/managedenvironments (2); microsoft.app/containerapps (9); microsoft.cognitiveservices/accounts (4); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","22","0.78","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"denmarkeast","Denmark East","Copenhagen","Recommended","Europe","","3","False","False","","0.732","80","0.8","32","8","45","0","microsoft.insights/components (18); microsoft.operationalinsights/workspaces (4); microsoft.dashboard/grafana (1); microsoft.app/managedenvironments (2); microsoft.app/containerapps (9); microsoft.cognitiveservices/accounts (4); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","17","0.83","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"polandcentral","Poland Central","Warsaw","Recommended","Europe","","3","False","False","","0.727","92.5","0.925","37","3","8","0","microsoft.dashboard/grafana (1); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6)","35","0.65","7.64","0.309","0.02","0.857","1","1","1","unknown","","","0.5"
"norwayeast","Norway East","Norway","Recommended","Europe","norwaywest","3","False","False","","0.713","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","28","0.72","18.33","0.042","0.02","0.857","1","1","1","unknown","","","0.5"
"switzerlandnorth","Switzerland North","Zurich","Recommended","Europe","switzerlandwest","3","False","False","","0.707","97.5","0.975","39","1","6","0","microsoft.web/staticsites (6)","31","0.69","18.33","0.042","0.02","0.857","1","1","1","unknown","","","0.5"
"francesouth","France South","Marseille","Other","Europe","francecentral","0","False","False","","0.378","25","0.25","10","30","513","0","microsoft.web/sites (58); microsoft.web/serverfarms (32); microsoft.storage/storageaccounts (45); microsoft.keyvault/vaults (38); microsoft.managedidentity/userassignedidentities (72); microsoft.sql/servers (6); microsoft.sql/servers/databases (24); microsoft.documentdb/databaseaccounts (8); microsoft.cache/redis (5); microsoft.servicebus/namespaces (7); microsoft.eventgrid/topics (4); microsoft.eventhub/namespaces (3); microsoft.apimanagement/service (2); microsoft.dashboard/grafana (1); microsoft.network/virtualnetworks (12); microsoft.network/networksecuritygroups (34); microsoft.network/publicipaddresses (22); microsoft.network/loadbalancers (8); microsoft.network/applicationgateways (3); microsoft.network/privateendpoints (41); microsoft.network/networkinterfaces (28); microsoft.network/bastionhosts (1); microsoft.compute/virtualmachines (14); microsoft.compute/disks (26); microsoft.compute/virtualmachinescalesets (4); microsoft.cognitiveservices/accounts (4); microsoft.search/searchservices (2); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6); microsoft.recoveryservices/vaults (2)","29","0.71","36.25","0","0.02","0.857","0.3","0.2","0.6","unknown","","","0.5"
"germanynorth","Germany North","Berlin","Other","Europe","germanywestcentral","0","False","False","","0.369","20","0.2","8","32","524","0","microsoft.web/sites (58); microsoft.web/serverfarms (32); microsoft.storage/storageaccounts (45); microsoft.keyvault/vaults (38); microsoft.managedidentity/userassignedidentities (72); microsoft.sql/servers (6); microsoft.sql/servers/databases (24); microsoft.documentdb/databaseaccounts (8); microsoft.cache/redis (5); microsoft.servicebus/namespaces (7); microsoft.eventgrid/topics (4); microsoft.eventhub/namespaces (3); microsoft.apimanagement/service (2); microsoft.dashboard/grafana (1); microsoft.network/virtualnetworks (12); microsoft.network/networksecuritygroups (34); microsoft.network/publicipaddresses (22); microsoft.network/loadbalancers (8); microsoft.network/applicationgateways (3); microsoft.network/privateendpoints (41); microsoft.network/networkinterfaces (28); microsoft.network/bastionhosts (1); microsoft.compute/virtualmachines (14); microsoft.compute/disks (26); microsoft.compute/virtualmachinescalesets (4); microsoft.app/managedenvironments (2); microsoft.app/containerapps (9); microsoft.cognitiveservices/accounts (4); microsoft.datafactory/factories (2); microsoft.databricks/workspaces (1); microsoft.web/staticsites (6); microsoft.recoveryservices/vaults (2)","27","0.73","39.9","0","0.02","0.857","0.3","0.2","0.6","unknown","","","0.5"
