"RegionName","DisplayName","Physical","RegionCategory","Geography","PairedWith","AZCount","IsSource","Rejected","RejectionReasons","FinalScore","CoveragePercent","CoverageScore","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","LatencyMs","LatencyScore","PriceDeltaPercent","PriceScore","PeeringRatePerGb","EgressScore","AZScore","SKUPortabilityScore","MaturityScore","CapacityStatus","CapacityRestriction","CapacityMitigation","CapacityScore"
"malaysiawest","Malaysia West","Kuala Lumpur","Recommended","Asia Pacific","","3","False","False","","0.851","97.3","0.973","36","1","3","0","microsoft.cognitiveservices/accounts (3)","9","0.91","-9.93","0.748","0.03","0.714","1","1","1","unknown","","","0.5"
"southeastasia","Southeast Asia","Singapore","Recommended","Asia Pacific","eastasia","3","True","False","","0.85","100","1","37","0","0","0","","0","1","0","0.5","0.01","1","1","1","1","unknown","","","0.5"
"indonesiacentral","Indonesia Central","Jakarta","Recommended","Asia Pacific","","3","False","False","","0.835","97.3","0.973","36","1","3","0","microsoft.cognitiveservices/accounts (3)","17","0.83","-9.93","0.748","0.03","0.714","1","1","1","unknown","","","0.5"
"centralindia","Central India","Pune","Recommended","Asia Pacific","southindia","3","False","False","","0.749","100","1","37","0","0","0","","59","0.41","-15.15","0.879","0.08","0","1","1","1","unknown","","","0.5"
"eastasia","East Asia","Hong Kong","Recommended","Asia Pacific","southeastasia","3","False","False","","0.733","100","1","37","0","0","0","","34","0.66","9.93","0.252","0.03","0.714","1","1","1","unknown","","","0.5"
"koreacentral","Korea Central","Seoul","Recommended","Asia Pacific","koreasouth","3","False","False","","0.712","100","1","37","0","0","0","","65","0.35","-0.83","0.521","0.03","0.714","1","1","1","unknown","","","0.5"
"japanwest","Japan West","Osaka","Recommended","Asia Pacific","japaneast","3","False","False","","0.7","100","1","37","0","0","0","","66","0.34","1.67","0.458","0.03","0.714","1","1","1","unknown","","","0.5"
"japaneast","Japan East","Tokyo, Saitama","Recommended","Asia Pacific","japanwest","3","False","False","","0.688","100","1","37","0","0","0","","72","0.28","1.67","0.458","0.03","0.714","1","1","1","unknown","","","0.5"
"southindia","South India","Chennai","Other","Asia Pacific","centralindia","3","False","False","","0.666","100","1","37","0","0","0","","38","0.62","14.85","0.129","0.08","0","1","1","0.6","unknown","","","0.5"
"australiaeast","Australia East","New South Wales","Recommended","Asia Pacific","australiasoutheast","3","False","False","","0.648","100","1","37","0","0","0","","96","0.04","-0.33","0.508","0.03","0.714","1","1","1","unknown","","","0.5"
"koreasouth","Korea South","Busan","Other","Asia Pacific","koreacentral","0","False","False","","0.631","89.2","0.892","33","4","15","0","microsoft.app/managedenvironments (2); microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3); microsoft.datafactory/factories (2)","61","0.39","-6.26","0.656","0.03","0.714","0.3","1","0.6","unknown","","","0.5"
"newzealandnorth","New Zealand North","Auckland","Recommended","Asia Pacific","","3","False","False","","0.601","91.9","0.919","34","3","13","0","microsoft.app/managedenvironments (2); microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3)","118","0","4.64","0.384","0.03","0.714","1","1","1","unknown","","","0.5"
"australiasoutheast","Australia Southeast","Victoria","Other","Asia Pacific","australiaeast","0","False","False","","0.549","97.3","0.973","36","1","3","0","microsoft.cognitiveservices/accounts (3)","89","0.11","6.03","0.349","0.03","0.714","0.3","1","0.6","unknown","","","0.5"
"westindia","West India","Mumbai","Other","Asia Pacific","southindia","0","False","False","","0.549","70.3","0.703","26","11","46","0","microsoft.dbformysql/flexibleservers (3); microsoft.appconfiguration/configurationstores (4); microsoft.insights/components (14); microsoft.operationalinsights/workspaces (3); microsoft.containerregistry/registries (2); microsoft.containerservice/managedclusters (3); microsoft.app/managedenvironments (2); microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3); microsoft.search/searchservices (2); microsoft.datafactory/factories (2)","44","0.56","4.38","0.39","0.08","0","0.3","1","0.6","unknown","","","0.5"
"australiacentral","Australia Central","Canberra","Other","Asia Pacific","australiacentral2","0","False","False","","0.521","83.8","0.838","31","6","25","0","microsoft.app/managedenvironments (2); microsoft.app/containerapps (8); microsoft.cognitiveservices/accounts (3); microsoft.search/searchservices (2); microsoft.datafactory/factories (2); microsoft.logic/workflows (8)","98","0.02","-0.33","0.508","0.03","0.714","0.3","1","0.6","unknown","","","0.5"
