"RegionName","DisplayName","Physical","RegionCategory","Geography","PairedWith","AZCount","IsSource","Rejected","RejectionReasons","FinalScore","CoveragePercent","CoverageScore","TypesCovered","TypesMissing","InstancesMissing","TypesUnknown","MissingTypesList","LatencyMs","LatencyScore","PriceDeltaPercent","PriceScore","PeeringRatePerGb","EgressScore","AZScore","SKUPortabilityScore","MaturityScore","CapacityStatus","CapacityRestriction","CapacityMitigation","CapacityScore"
"northeurope","North Europe","Ireland","Recommended","Europe","westeurope","3","False","False","","0.827","97.3","0.973","36","1","8","0","microsoft.web/staticsites (8)","13","0.87","-4.17","0.604","0.02","0.857","1","1","1","unknown","","","0.5"
"francecentral","France Central","Paris","Recommended","Europe","francesouth","3","False","False","","0.816","97.3","0.973","36","1","8","0","microsoft.web/staticsites (8)","10","0.9","0.45","0.489","0.02","0.857","1","1","1","unknown","","","0.5"
"swedencentral","Sweden Central","G�vle","Recommended","Europe","swedensouth","3","False","False","","0.811","97.3","0.973","36","1","8","0","microsoft.web/staticsites (8)","30","0.7","-8.78","0.72","0.02","0.857","1","1","1","unknown","","","0.5"
"spaincentral","Spain Central","Madrid","Recommended","Europe","","3","False","False","","0.81","94.6","0.946","35","2","9","0","microsoft.web/staticsites (8); microsoft.dashboard/grafana (1)","18","0.82","-4.17","0.604","0.02","0.857","1","1","1","unknown","","","0.5"
"westeurope","West Europe","Netherlands","Recommended","Europe","northeurope","3","False","False","","0.798","100","1","37","0","0","0","","17","0.83","3.15","0.421","0.02","0.857","1","1","1","unknown","","","0.5"
"germanywestcentral","Germany West Central","Frankfurt","Recommended","Europe","germanynorth","3","False","False","","0.792","97.3","0.973","36","1","8","0","microsoft.web/staticsites (8)","17","0.83","3.15","0.421","0.02","0.857","1","1","1","unknown","","","0.5"
"italynorth","Italy North","Milan","Recommended","Europe","","3","False","False","","0.782","97.3","0.973","36","1","8","0","microsoft.web/staticsites (8)","27","0.73","0.45","0.489","0.02","0.857","1","1","1","unknown","","","0.5"
"belgiumcentral","Belgium Central","Brussels","Recommended","Europe","","3","False","False","","0.769","81.1","0.811","30","7","45","0","microsoft.web/staticsites (8); microsoft.insights/components (16); microsoft.operationalinsights/workspaces (4); microsoft.app/managedenvironments (2); microsoft.app/containerapps (10); microsoft.cognitiveservices/accounts (4); microsoft.dashboard/grafana (1)","8","0.92","3.15","0.421","0.02","0.857","1","1","1","unknown","","","0.5"
"austriaeast","Austria East","Vienna","Recommended","Europe","","3","False","False","","0.765","86.5","0.865","32","5","25","0","microsoft.web/staticsites (8); microsoft.app/managedenvironments (2); microsoft.app/containerapps (10); microsoft.cognitiveservices/accounts (4); microsoft.dashboard/grafana (1)","17","0.83","3.15","0.421","0.02","0.857","1","1","1","unknown","","","0.5"
"polandcentral","Poland Central","Warsaw","Recommended","Europe","","3","False","False","","0.759","94.6","0.946","35","2","9","0","microsoft.web/staticsites (8); microsoft.dashboard/grafana (1)","30","0.7","3.15","0.421","0.02","0.857","1","1","1","unknown","","","0.5"
