"ServiceName","Category","Namespace","Registration","Global","Australia Central","Australia Central 2","Australia East","Australia Southeast","Central India","East Asia","East Asia (Stage)","Indonesia Central","Japan East","Japan West","Jio India Central","Jio India West","Korea Central","Korea South","Malaysia West","New Zealand North","South India","Southeast Asia","Southeast Asia (Stage)","West India"
"Azure AI Search","AI + ML","Microsoft.Search","Registered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure AI Services (Cognitive Services / OpenAI)","AI + ML","Microsoft.CognitiveServices","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no"
"Azure AI Video Indexer","AI + ML","Microsoft.VideoIndexer","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no"
"Azure Bot Service","AI + ML","Microsoft.BotService","Registered","False","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Health Bot","AI + ML","Microsoft.HealthBot","NotRegistered","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Health Data Services","AI + ML","Microsoft.HealthcareApis","Registered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Azure Inference Service","AI + ML","Microsoft.InferenceService","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Machine Learning","AI + ML","Microsoft.MachineLearningServices","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Azure Maps","AI + ML","Microsoft.Maps","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Quantum","AI + ML","Microsoft.Quantum","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Bing Search","AI + ML","Microsoft.Bing","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Health Data AI Services","AI + ML","Microsoft.HealthDataAIServices","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Health Platform","AI + ML","Microsoft.HealthPlatform","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Healthcare Interop","AI + ML","Microsoft.HealthcareInterop","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft Genomics","AI + ML","Microsoft.Genome","NotRegistered","False","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no"
"Microsoft Syntex","AI + ML","Microsoft.Syntex","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","yes"
"Singularity (AI Supercomputer)","AI + ML","Microsoft.Singularity","NotRegistered","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Weights and Biases on Azure","AI + ML","Microsoft.WeightsAndBiases","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Anyscale on Azure (Ray)","AI + ML (3rd party)","Anyscale.Platform","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Arize AI Observability","AI + ML (3rd party)","ArizeAi.ObservabilityEval","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Pinecone Vector DB on Azure","AI + ML (3rd party)","Pinecone.VectorDb","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Analysis Services","Analytics","Microsoft.AnalysisServices","NotRegistered","False","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes"
"Azure Data Explorer (Kusto)","Analytics","Microsoft.Kusto","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Data Factory","Analytics","Microsoft.DataFactory","Registered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","yes","yes","yes","no","no"
"Azure Data Lake Analytics","Analytics","Microsoft.DataLakeAnalytics","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Data Share","Analytics","Microsoft.DataShare","NotRegistered","False","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Databricks","Analytics","Microsoft.Databricks","Registered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Azure HDInsight","Analytics","Microsoft.HDInsight","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Stream Analytics","Analytics","Microsoft.StreamAnalytics","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Synapse Analytics","Analytics","Microsoft.Synapse","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","yes","no","yes","yes","no","yes"
"Confluent Cloud (Azure Native)","Analytics","Microsoft.Confluent","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft Energy Data Services","Analytics","Microsoft.OpenEnergyPlatform","NotRegistered","False","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft Fabric","Analytics","Microsoft.Fabric","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft Purview","Analytics","Microsoft.Purview","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Power BI Dedicated","Analytics","Microsoft.PowerBIDedicated","Registered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Power BI Embedded","Analytics","Microsoft.PowerBI","NotRegistered","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes"
"Astronomer Astro (Airflow)","Analytics (3rd party)","Astronomer.Astro","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Informatica IDMC on Azure","Analytics (3rd party)","Informatica.DataManagement","NotRegistered","False","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Backup","Backup / DR","Microsoft.DataProtection","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Business Continuity Center","Backup / DR","Microsoft.AzureBusinessContinuity","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Recovery Services (Backup/ASR)","Backup / DR","Microsoft.RecoveryServices","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Site Recovery","Backup / DR","Microsoft.DataReplication","NotRegistered","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Backup Solutions","Backup / DR","Microsoft.BackupSolutions","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Commvault Cloud","Backup / DR (3rd party)","Commvault.ContentStore","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Blockchain Tokens","Blockchain","Microsoft.BlockchainTokens","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure BareMetal","Compute","Microsoft.BareMetal","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Batch","Compute","Microsoft.Batch","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Compute Fleet","Compute","Microsoft.AzureFleet","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Hardware","Compute","Microsoft.Hardware","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Image Testing for Linux","Compute","Microsoft.AzureImageTestingForLinux","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Large Instances","Compute","Microsoft.AzureLargeInstance","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Serial Console","Compute","Microsoft.SerialConsole","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Service Fabric","Compute","Microsoft.ServiceFabric","Registered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Standby VM Pool","Compute","Microsoft.StandbyPool","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Virtual Desktop","Compute","Microsoft.DesktopVirtualization","Registered","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Azure Virtual Machines","Compute","Microsoft.Compute","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure VM Image Builder","Compute","Microsoft.VirtualMachineImages","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","no","no","no","yes","no","yes","yes","no","yes","no","no"
"Azure VMware Solution","Compute","Microsoft.AVS","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","no","yes","yes","no","yes","no","no"
"Azure Workloads (SAP)","Compute","Microsoft.Workloads","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no"
"BareMetal Infrastructure","Compute","Microsoft.BareMetalInfrastructure","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Compute Bulk Actions","Compute","Microsoft.ComputeBulkActions","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","yes"
"Compute Limits","Compute","Microsoft.ComputeLimit","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
