"ServiceName","Category","Namespace","Registration","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Azure AI Search","AI + ML","Microsoft.Search","Registered","False","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Azure AI Services (Cognitive Services / OpenAI)","AI + ML","Microsoft.CognitiveServices","Registered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Azure AI Video Indexer","AI + ML","Microsoft.VideoIndexer","NotRegistered","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes"
"Azure Bot Service","AI + ML","Microsoft.BotService","Registered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Health Bot","AI + ML","Microsoft.HealthBot","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Health Data Services","AI + ML","Microsoft.HealthcareApis","Registered","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","yes"
"Azure Inference Service","AI + ML","Microsoft.InferenceService","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Machine Learning","AI + ML","Microsoft.MachineLearningServices","Registered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Azure Maps","AI + ML","Microsoft.Maps","Registered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Azure Quantum","AI + ML","Microsoft.Quantum","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Bing Search","AI + ML","Microsoft.Bing","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Health Data AI Services","AI + ML","Microsoft.HealthDataAIServices","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Health Platform","AI + ML","Microsoft.HealthPlatform","NotRegistered","False","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Healthcare Interop","AI + ML","Microsoft.HealthcareInterop","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft Genomics","AI + ML","Microsoft.Genome","NotRegistered","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no"
"Microsoft Syntex","AI + ML","Microsoft.Syntex","NotRegistered","False","no","no","no","yes","yes","yes","no","no","yes","yes","yes","no","no","no","yes","yes","yes"
"Singularity (AI Supercomputer)","AI + ML","Microsoft.Singularity","NotRegistered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Weights and Biases on Azure","AI + ML","Microsoft.WeightsAndBiases","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Anyscale on Azure (Ray)","AI + ML (3rd party)","Anyscale.Platform","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Arize AI Observability","AI + ML (3rd party)","ArizeAi.ObservabilityEval","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Pinecone Vector DB on Azure","AI + ML (3rd party)","Pinecone.VectorDb","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
