"Namespace","Registration","ResourceTypes","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Anyscale.Platform","NotRegistered","10","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"ArizeAi.ObservabilityEval","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Astronomer.Astro","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Commvault.ContentStore","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Dell.Storage","NotRegistered","6","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Dynatrace.Observability","NotRegistered","16","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes"
"GitHub.Network","NotRegistered","3","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Informatica.DataManagement","NotRegistered","8","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"LambdaTest.HyperExecute","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Liftrbasic.Samplerp","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AAD","NotRegistered","6","False","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.AadCustomSecurityAttributesDiagnosticSettings","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"microsoft.aadiam","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Addons","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.ADHybridHealthService","Registered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Advisor","Registered","17","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.AlertsManagement","NotRegistered","13","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.AnalysisServices","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.ApiCenter","NotRegistered","4","False","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes"
"Microsoft.ApiManagement","Registered","16","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.App","NotRegistered","48","False","no","no","no","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
