"Provider","Category","Sku","Tier","Region","RegionDisplay","Available"
"Microsoft.ApiManagement","Integration","AIGateway",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"francecentral","France Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"germanywestcentral","Germany West Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"italynorth","Italy North","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"northeurope","North Europe","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"norwayeast","Norway East","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"spaincentral","Spain Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"swedencentral","Sweden Central","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"switzerlandnorth","Switzerland North","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","AIGateway",,"westeurope","West Europe","no"
"Microsoft.ApiManagement","Integration","Basic",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Basic",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Basic",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Basic",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Basic",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Basic",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Basic",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Basic",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Basic",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Basic",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Basic",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Basic",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","BasicV2",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","BasicV2",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","Consumption",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","Consumption",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","Consumption",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","Consumption",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Consumption",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","Consumption",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","Consumption",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Consumption",,"italynorth","Italy North","no"
"Microsoft.ApiManagement","Integration","Consumption",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Consumption",,"norwayeast","Norway East","no"
"Microsoft.ApiManagement","Integration","Consumption",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","Consumption",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","Consumption",,"spaincentral","Spain Central","no"
"Microsoft.ApiManagement","Integration","Consumption",,"swedencentral","Sweden Central","no"
"Microsoft.ApiManagement","Integration","Consumption",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Consumption",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","Consumption",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","Developer",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Developer",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Developer",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Developer",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Developer",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Developer",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Developer",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Developer",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","Isolated",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"francecentral","France Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","Isolated",,"germanynorth","Germany North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"germanywestcentral","Germany West Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"italynorth","Italy North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"northeurope","North Europe","no"
"Microsoft.ApiManagement","Integration","Isolated",,"norwayeast","Norway East","no"
"Microsoft.ApiManagement","Integration","Isolated",,"norwaywest","Norway West","no"
"Microsoft.ApiManagement","Integration","Isolated",,"polandcentral","Poland Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"spaincentral","Spain Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"swedencentral","Sweden Central","no"
"Microsoft.ApiManagement","Integration","Isolated",,"switzerlandnorth","Switzerland North","no"
"Microsoft.ApiManagement","Integration","Isolated",,"switzerlandwest","Switzerland West","no"
"Microsoft.ApiManagement","Integration","Isolated",,"westeurope","West Europe","no"
"Microsoft.ApiManagement","Integration","Premium",,"austriaeast","Austria East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"belgiumcentral","Belgium Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"denmarkeast","Denmark East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"francecentral","France Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"francesouth","France South","yes"
"Microsoft.ApiManagement","Integration","Premium",,"germanynorth","Germany North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"germanywestcentral","Germany West Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"italynorth","Italy North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"northeurope","North Europe","yes"
"Microsoft.ApiManagement","Integration","Premium",,"norwayeast","Norway East","yes"
"Microsoft.ApiManagement","Integration","Premium",,"norwaywest","Norway West","yes"
"Microsoft.ApiManagement","Integration","Premium",,"polandcentral","Poland Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"spaincentral","Spain Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"swedencentral","Sweden Central","yes"
"Microsoft.ApiManagement","Integration","Premium",,"switzerlandnorth","Switzerland North","yes"
"Microsoft.ApiManagement","Integration","Premium",,"switzerlandwest","Switzerland West","yes"
"Microsoft.ApiManagement","Integration","Premium",,"westeurope","West Europe","yes"
"Microsoft.ApiManagement","Integration","PremiumV2",,"austriaeast","Austria East","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"belgiumcentral","Belgium Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"denmarkeast","Denmark East","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"francecentral","France Central","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"francesouth","France South","no"
"Microsoft.ApiManagement","Integration","PremiumV2",,"germanynorth","Germany North","no"
