"Namespace","Registration","ResourceTypes","Global","Central US","Central US (Stage)","Central US EUAP","East US","East US (Stage)","East US 2","East US 2 (Stage)","East US 2 EUAP","East US STG","North Central US","North Central US (Stage)","South Central US","South Central US (Stage)","South Central US STG","West Central US","West US","West US (Stage)","West US 2","West US 2 (Stage)","West US 3"
"Anyscale.Platform","NotRegistered","10","False","no","no","no","yes","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes"
"ArizeAi.ObservabilityEval","NotRegistered","6","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Astronomer.Astro","NotRegistered","4","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"Commvault.ContentStore","NotRegistered","5","False","no","no","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Dell.Storage","NotRegistered","6","False","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no"
"Dynatrace.Observability","NotRegistered","16","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes"
"GitHub.Network","NotRegistered","3","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Informatica.DataManagement","NotRegistered","8","False","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no"
"LambdaTest.HyperExecute","NotRegistered","6","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Liftrbasic.Samplerp","NotRegistered","5","False","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.AAD","NotRegistered","6","False","yes","no","no","yes","no","yes","no","no","no","yes","no","yes","no","no","yes","yes","no","yes","no","yes"
"Microsoft.AadCustomSecurityAttributesDiagnosticSettings","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"microsoft.aadiam","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no"
"Microsoft.Addons","NotRegistered","3","False","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no"
